,status,11,27,30
Rabbit,existing,KwaZulu Natal,Empangeni,Empangeni
Rassona Garcia,existing,Mozambique,Mozambique,Mozambique
Rigi,existing,Gauteng,Vaal Triangle,Vaal Triangle
Rockdale,existing,Mpumalanga,Highveld North,Middelburg
Roodekuil,existing,Hydra Cluster,Karoo,Karoo
Ruigtevallei,existing,Hydra Cluster,Karoo,Karoo
Sasol 2,existing,Mpumalanga,Highveld South,Highveld South
Sasol 3,existing,Mpumalanga,Highveld South,Highveld South
Scafell,existing,Gauteng,Vaal Triangle,Sasolburg
Sebenza,existing,Gauteng,Johannesburg,Johannesburg South
Segoditshane,existing,Botswana,Botswana,Botswana
Senakangwedi,existing,Limpopo,Lowveld,Phalaborwa
Senakangwedi B,existing,Limpopo,Lowveld,Phalaborwa
Sere,existing,Northern Cape,West Coast,West Coast
Silimela,existing,Limpopo,Lowveld,Lowveld
Simplon,existing,Mpumalanga,Lowveld,Lowveld
Snowdon,existing,Gauteng,Nigel,Vaal Triangle
Sol,existing,Mpumalanga,Highveld South,Witbank
Sorata,existing,KwaZulu Natal,Ladysmith,Ladysmith
Spencer,existing,Limpopo,Polokwane,Polokwane
Spitskop,existing,Limpopo,Waterberg,Lephalale
Sterrekus,existing,Western Cape,Peninsula,West Coast
Stikland,existing,Western Cape,Peninsula,Peninsula
Tabor,existing,Limpopo,Polokwane,Polokwane
Taunus,existing,Gauteng,Westrand,West Rand
Theseus,existing,Free State,Welkom,Welkom
Thuso,existing,Gauteng,Pretoria,East Rand
Trident,existing,North West,Rustenburg,Rustenburg
Tugela,existing,KwaZulu Natal,Ladysmith,Ladysmith
Tutuka,existing,Mpumalanga,Highveld South,Highveld South
Umfolozi,existing,KwaZulu Natal,Newcastle,Newcastle
Umzali,existing,KwaZulu Natal,Pinetown,Pinetown
Upington,existing,Northern Cape,Kimberley,Kimberley
Vanderkloof,existing,Hydra Cluster,Karoo,Karoo
Van Der Kloof,existing,Hydra Cluster,Karoo,Karoo
Venus,existing,KwaZulu Natal,Ladysmith,Ladysmith
Verdun,existing,Gauteng,Vaal Triangle,Vaal Triangle
Vulcan,existing,Mpumalanga,Highveld North,Witbank
Vuyani,existing,KwaZulu Natal,East London,East London
Warmbad,existing,Limpopo,Warmbad,Lephalale
Watershed,existing,North West,Carletonville,Carletonville
Westgate,existing,Gauteng,Westrand,West Rand
Wildebees,existing,Gauteng,Pretoria,East Rand
Witkop,existing,Limpopo,Polokwane,Polokwane
Zeus,existing,Mpumalanga,Highveld South,Highveld South
Zwavelpoort Ee1,existing,Gauteng,Pretoria,East Rand
